Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Peugeot,Rare,2006,Minivan,247000.0,2200.0,Diesel,Manual,2200.0,16,q3,15438.0,39520.0,3409.5686274509803
BMW,7 Series,2013,Sedan,165000.0,3000.0,Diesel,Automatic,26800.0,9,q3,18333.0,14850.0,15607.058823529413
Mitsubishi,Rare,2004,Roadster,300000.0,2500.0,Diesel,Manual,8000.0,18,q3,16667.0,54000.0,16941.176470588234
Toyota,Rare,2017,Sedan,95000.0,1800.0,Plug-in Hybrid,Automatic,17999.0,5,q4,19000.0,4750.0,3352.7549019607845
Subaru,Rare,2000,Sedan,222530.0,1600.0,Petrol,Manual,3800.0,22,q1,10115.0,48956.6,7295.493333333333
Volkswagen,Passat,2005,Sedan,270000.0,2000.0,Petrol,Manual,5700.0,17,q3,15882.0,45900.0,10260.0
Ford,Focus,2012,Universal,167000.0,1000.0,Petrol,Manual,4999.0,10,q3,16700.0,16700.0,3273.8549019607844
Mercedes,C Class,1995,Sedan,345000.0,1800.0,Metan/Propan,Automatic,2200.0,27,q2,12778.0,93150.0,8036.470588235294
Volkswagen,Polo,2014,Hatchback,212600.0,1400.0,Diesel,Manual,6850.0,8,q4,26575.0,17008.0,4568.81568627451
Nissan,Qashqai,2013,Crossover,140000.0,1500.0,Diesel,Manual,8500.0,9,q3,15556.0,12600.0,4200.0
Opel,Insignia,2015,Hatchback,220000.0,2000.0,Petrol,Automatic,9990.0,7,q4,31429.0,15400.0,6033.176470588235
Mercedes,Vito,2012,Microvan,237000.0,2200.0,Diesel,Manual,10490.0,10,q4,23700.0,23700.0,9749.529411764706
Renault,Clio,2016,Universal,153000.0,1500.0,Diesel,Automatic,9200.0,6,q4,25500.0,9180.0,3312.0
Mini,Rare,2004,Coupe,320000.0,1400.0,Diesel,Manual,3800.0,18,q3,17778.0,57600.0,8583.529411764706
Opel,Combo,2012,Minivan,188000.0,2000.0,Diesel,Manual,4500.0,10,q3,18800.0,18800.0,3317.6470588235293
Dacia,Sandero,2015,Hatchback,215000.0,1500.0,Diesel,Manual,4850.0,7,q4,30714.0,15050.0,2862.450980392157
Ford,Rare,2006,Minivan,218400.0,2000.0,Diesel,Manual,7000.0,16,q2,13650.0,34944.0,9592.470588235294
Renault,Megane,2005,Universal,256983.0,1500.0,Diesel,Manual,3150.0,17,q3,15117.0,43687.11,5396.643
Volkswagen,Rare,2011,SUV,213548.0,2000.0,Diesel,Manual,17250.0,11,q4,19413.0,23490.28,15890.483529411764
Hyundai,Tucson,2017,SUV,130212.0,2000.0,Diesel,Automatic,17499.0,5,q4,26042.0,6510.6,4467.803505882353
Dacia,Duster,2014,Crossover,148000.0,1500.0,Diesel,Manual,7900.0,8,q3,18500.0,11840.0,3668.078431372549
Dacia,Rare,2013,Minivan,180000.0,1500.0,Diesel,Manual,3000.0,9,q4,20000.0,16200.0,1905.8823529411766
BMW,X5,2014,Crossover,107000.0,2998.0,Diesel,Automatic,37900.0,8,q2,13375.0,8560.0,12722.509803921568
Suzuki,Rare,2017,Crossover,30100.0,1400.0,Petrol,Automatic,15500.0,5,q1,6020.0,1505.0,914.8039215686274
